,Iteration,Best_SP
568,4159,141840
569,4164,141840
570,4172,141840
571,4184,141840
572,4189,141840
573,4194,141840
574,4205,141840
575,4213,141840
576,4218,141840
577,4225,141840
578,4238,141840
579,4244,141840
580,4255,141840
581,4260,141840
582,4266,141840
583,4272,141840
584,4279,141840
585,4284,141840
586,4290,141840
587,4295,141840
588,4300,141840
589,4307,141840
590,4312,141840
591,4326,141840
592,4339,141840
593,4344,141840
594,4349,141840
595,4354,141840
596,4359,141840
597,4366,141840
598,4371,141840
599,4377,141840
600,4391,141840
601,4400,141840
602,4406,141840
603,4422,141840
604,4428,141840
605,4439,141840
606,4444,141840
607,4457,141840
608,4462,141840
609,4470,141840
610,4484,141840
611,4489,141840
612,4505,141840
613,4513,141840
614,4518,141840
615,4523,141840
616,4528,141840
617,4541,141840
618,4549,141840
619,4554,141840
620,4562,141840
621,4571,141840
622,4576,141840
623,4581,141840
624,4589,141840
625,4594,141840
626,4608,141840
627,4613,141840
628,4627,141840
629,4634,141840
630,4639,141840
631,4646,141840
632,4652,141840
633,4657,141840
634,4663,141840
635,4669,141840
636,4674,141840
637,4679,141840
638,4691,141840
639,4696,141840
640,4701,141840
641,4707,141840
642,4714,141840
643,4719,141840
644,4724,141840
645,4729,141840
646,4734,141840
647,4753,141840
648,4758,141840
649,4766,141840
650,4771,141840
651,4776,141840
652,4795,141840
653,4804,141840
654,4809,141840
655,4818,141840
656,4826,141840
657,4833,141840
658,4838,141840
659,4845,141840
660,4853,141840
661,4858,141840
662,4863,141840
663,4869,141840
664,4874,141840
665,4879,141840
666,4885,141840
667,4891,141840
668,4898,141840
669,4905,141840
670,4911,141840
671,4918,141840
672,4926,141840
673,4938,141840
674,4948,141840
675,4954,141840
676,4959,141840
677,4969,141840
678,4979,141840
679,4984,141840
680,4990,141840
681,4995,141840
682,5000,141840
683,5005,141840
684,5019,141840
685,5026,141840
686,5033,141840
687,5050,141840
688,5060,141840
689,5065,141840
690,5071,141840
691,5085,141840
692,5091,141840
693,5099,141840
694,5107,141840
695,5116,141840
696,5121,141840
697,5129,141840
698,5135,141840
699,5144,141840
700,5156,141840
701,5165,141840
702,5176,141840
703,5181,141840
704,5186,141840
705,5198,141840
706,5204,141840
707,5210,141840
708,5216,141840
709,5239,141840
710,5244,141840
711,5253,141840
712,5258,141840
713,5268,141840
714,5273,141840
715,5280,141840
716,5286,141840
717,5296,141840
718,5302,141840
719,5307,141840
720,5312,141840
721,5325,141840
722,5332,141840
723,5341,141840
724,5346,141840
725,5355,141840
726,5361,141840
727,5368,141840
728,5374,141840
729,5381,141840
730,5386,141840
731,5396,141840
732,5401,141840
733,5410,141840
734,5418,141840
735,5430,141840
736,5445,141840
737,5450,141840
738,5456,141840
739,5461,141840
740,5468,141840
741,5479,141840
742,5484,141840
743,5492,141840
744,5497,141840
745,5506,141840
746,5513,141840
747,5521,141840
748,5530,141840
749,5539,141840
750,5544,141840
751,5549,141840
752,5558,141840
753,5574,141840
754,5580,141840
755,5587,141840
756,5593,141840
757,5598,141840
758,5607,141840
759,5615,141840
760,5627,141840
761,5632,141840
762,5637,141840
763,5644,141840
764,5649,141840
765,5656,141840
766,5665,141840
767,5673,141840
768,5685,141840
769,5691,141840
770,5699,141840
771,5707,141840
772,5715,141840
773,5720,141840
774,5725,141840
775,5737,141840
776,5744,141840
777,5749,141840
778,5754,141840
779,5761,141840
780,5773,141840
781,5782,141840
782,5791,141840
783,5798,141840
784,5813,141840
785,5818,141840
786,5824,141840
787,5834,141840
788,5843,141840
789,5849,141840
790,5855,141840
791,5860,141840
792,5869,141840
793,5875,141840
794,5884,141840
795,5892,141840
796,5897,141840
797,5902,141840
798,5915,141840
799,5922,141840
800,5928,141840
801,5938,141840
802,5943,141840
803,5948,141840
804,5958,141840
805,5963,141840
806,5971,141840
807,5976,141840
808,5983,141840
809,5989,141840
810,5994,141840
811,5999,141840
812,6004,141840
813,6015,141840
814,6026,141840
815,6032,141840
816,6038,141840
817,6047,141840
818,6063,141840
